id_no,title,title_href,logoimage_src,comp_name,comp_name_href,rating_href,main_2,review,expwdth,ni_job_tuple_icon,locwdth,job_desc,dot_gt,dot_gt_2,dot_gt_3,dot_gt_4,dot_gt_5,dot_gt_6,dot_gt_7,dot_gt_8,job_post_day
35,Azure Devops Lead,https://www.naukri.com/job-listings-azure-devops-lead-mclaren-strategic-solutions-mss-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-5-to-8-years-220124501746,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Mclaren Strategic Solutions (mss),https://www.naukri.com/mclaren-strategic-solutions-mss-jobs-careers-124066566,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,5-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",. Well versed in developing cloud strategy and manage the adaption process . Experience...,Automation,Manager Quality Assurance,Linux,Networking,Configuration management,Network security,Application development,Selenium,8 Days Ago
36,ASP.NET Fullstack Sr.Developer,https://www.naukri.com/job-listings-asp-net-fullstack-sr-developer-mclaren-strategic-solutions-mss-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-4-to-7-years-220124501745,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Mclaren Strategic Solutions (mss),https://www.naukri.com/mclaren-strategic-solutions-mss-jobs-careers-124066566,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,4-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Qualifications: . Bachelors degree in Computer Science, Software Engineering, or relate...",IT services,Supply chain,Manager Quality Assurance,Coding,Healthcare,Application development,Selenium,Analytics,8 Days Ago
37,ASP.NET Fullstack Lead Developer,https://www.naukri.com/job-listings-asp-net-fullstack-lead-developer-mclaren-strategic-solutions-mss-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-8-to-9-years-220124501744,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Mclaren Strategic Solutions (mss),https://www.naukri.com/mclaren-strategic-solutions-mss-jobs-careers-124066566,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,8-9 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Qualifications: . Bachelors degree in Computer Science, Software Engineering, or relate...",IT services,Supply chain,Manager Quality Assurance,Coding,Healthcare,Application development,Selenium,Analytics,8 Days Ago
38,Software Engineer,https://www.naukri.com/job-listings-software-engineer-ford-global-business-services-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-4-years-190124500842,https://img.naukimg.com/logo_images/groups/v1/247012.gif,Ford,https://www.naukri.com/ford-jobs-careers-19589,https://www.ambitionbox.com/reviews/ford-motor-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.4,2736  Reviews,1-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Formal SAP training and certification or knowledge is an advantage . BE, MSc MCA",Business process,Process design,SAP ERP,Sales,Billing,Integration testing,Agile,Agile methodology,11 Days Ago
39,Qliksense Developer,https://www.naukri.com/job-listings-qliksense-developer-capco-technologies-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-4-to-8-years-180124501602,https://img.naukimg.com/logo_images/groups/v1/4586641.gif,Capco,https://www.naukri.com/capco-jobs-careers-114714,https://www.ambitionbox.com/reviews/capco-technologies-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.7,401  Reviews,4-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",The successful candidate is expected to have a good working knowledge and delivery expe...,SAS,Enterprise architecture,Analytical,Agile,Asset management,QlikView,Risk management,Financial services,12 Days Ago
40,Abinitio Developer,https://www.naukri.com/job-listings-abinitio-developer-capgemini-kolkata-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-6-to-9-years-160523005710,https://img.naukimg.com/logo_images/groups/v1/1288.gif,Capgemini,https://www.naukri.com/capgemini-jobs-careers-649,https://www.ambitionbox.com/reviews/capgemini-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,29315  Reviews,6-9 Yrs,Not disclosed,"Hybrid - Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Duties and responsibilities :- . Hands-on experience creating graphs to meet complex bu...,ab initio,gde,unix,Initio,Development,Ab,Development,Development,5 Days Ago
41,Technical Lead I - Java Microservices,https://www.naukri.com/job-listings-technical-lead-i-java-microservices-citiustech-mumbai-hyderabad-secunderabad-pune-chennai-gurgaon-gurugram-bangalore-bengaluru-5-to-8-years-230124500883,https://img.naukimg.com/logo_images/groups/v1/682834.gif,Citiustech,https://www.naukri.com/citiustech-jobs-careers-142075,https://www.ambitionbox.com/reviews/citiustech-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.5,1291  Reviews,5-8 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Gurgaon/Gurugram, Bangalore/Bengaluru",. Technical certification in multipletechnologies is desirable. Mandatory technical ski...,spring boot,SOA,Coding,Healthcare,Technical Lead,Agile methodology,Unit testing,Monitoring,7 Days Ago
42,Technical Lead I - ODM,https://www.naukri.com/job-listings-technical-lead-i-odm-citiustech-mumbai-hyderabad-secunderabad-pune-chennai-gurgaon-gurugram-bangalore-bengaluru-5-to-7-years-220124502803,https://img.naukimg.com/logo_images/groups/v1/682834.gif,Citiustech,https://www.naukri.com/citiustech-jobs-careers-142075,https://www.ambitionbox.com/reviews/citiustech-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.5,1291  Reviews,5-7 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Gurgaon/Gurugram, Bangalore/Bengaluru","Responsibilities: . Good understanding of US Healthcare, especially in RevenueCycle Man...",spring boot,Business transformation,Coding,Technical leadership,Manager Technology,Technical Lead,Healthcare,Agile methodology,8 Days Ago
43,Technical Lead I - PostgreSQL,https://www.naukri.com/job-listings-technical-lead-i-postgresql-citiustech-mumbai-hyderabad-secunderabad-pune-chennai-gurgaon-gurugram-bangalore-bengaluru-4-to-9-years-180124501611,https://img.naukimg.com/logo_images/groups/v1/682834.gif,Citiustech,https://www.naukri.com/citiustech-jobs-careers-142075,https://www.ambitionbox.com/reviews/citiustech-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.5,1291  Reviews,4-9 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Gurgaon/Gurugram, Bangalore/Bengaluru",". Must have knowledge of PostGre, SQL DBA, and Azure . Good to have skills Knowledge of...",Unix,Performance tuning,Linux,Coding,Postgresql,Database,Infrastructure,Technical Lead,12 Days Ago
44,Product Line Anchor,https://www.naukri.com/job-listings-product-line-anchor-ford-global-business-services-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-5-to-7-years-150124500975,https://img.naukimg.com/logo_images/groups/v1/247012.gif,Ford,https://www.naukri.com/ford-jobs-careers-19589,https://www.ambitionbox.com/reviews/ford-motor-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.4,2736  Reviews,5-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Help business partners understand our iterative development approach and focus on deliv...,Usage,pricing analysis,Architecture,Coding,GCP,Focus,Agile,Manager Technology,15 Days Ago
45,Technical Lead I - Data Build Tool,https://www.naukri.com/job-listings-technical-lead-i-data-build-tool-citiustech-mumbai-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-5-to-7-years-230124500882,https://img.naukimg.com/logo_images/groups/v1/682834.gif,Citiustech,https://www.naukri.com/citiustech-jobs-careers-142075,https://www.ambitionbox.com/reviews/citiustech-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.5,1291  Reviews,5-7 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",. Strongverbal and written communication skills along with problem solving skills . Mus...,Data validation,Coding,Cloud,Healthcare,Technical Lead,Data quality,data integrity,US healthcare,7 Days Ago
46,C++ Developer,https://www.naukri.com/job-listings-c-developer-ibm-india-pvt-limited-hyderabad-secunderabad-pune-bangalore-bengaluru-2-to-5-years-290124906324,https://www.naukri.com/hotjobs/images/v3/ibmsep14.gif,IBM,https://www.naukri.com/ibm-jobs-careers-16987,https://www.ambitionbox.com/reviews/ibm-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.1,19553  Reviews,2-5 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru","Desired C++11, VC++, Windows Powershell, Windows Batch files scripting, Unix Shell scri...",Unix,C++,Javascript,HTML,SQL,jQuery,Incident management,Troubleshooting,1 Day Ago
47,C++ Developer,https://www.naukri.com/job-listings-c-developer-ibm-india-pvt-limited-hyderabad-secunderabad-pune-bangalore-bengaluru-2-to-5-years-290124905971,https://www.naukri.com/hotjobs/images/v3/ibmsep14.gif,IBM,https://www.naukri.com/ibm-jobs-careers-16987,https://www.ambitionbox.com/reviews/ibm-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.1,19553  Reviews,2-5 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru",Required Technical and Professional Expertise . 3 years of SAP experience with HANA Con...,C++,SAP,Linux,Oracle,SQL,Multithreading,Struts,Troubleshooting,1 Day Ago
48,C++ Developer,https://www.naukri.com/job-listings-c-developer-ibm-india-pvt-limited-hyderabad-secunderabad-pune-bangalore-bengaluru-2-to-5-years-290124905967,https://www.naukri.com/hotjobs/images/v3/ibmsep14.gif,IBM,https://www.naukri.com/ibm-jobs-careers-16987,https://www.ambitionbox.com/reviews/ibm-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.1,19553  Reviews,2-5 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru","Basic Graduation from reputed collegeRequired Technical and Professional Expertise . C,...",Unix,C++,Automation,Multithreading,Troubleshooting,Coding,Functional testing,Incident management,1 Day Ago
49,C++ Developer,https://www.naukri.com/job-listings-c-developer-ibm-india-pvt-limited-hyderabad-secunderabad-pune-bangalore-bengaluru-2-to-5-years-290124905111,https://www.naukri.com/hotjobs/images/v3/ibmsep14.gif,IBM,https://www.naukri.com/ibm-jobs-careers-16987,https://www.ambitionbox.com/reviews/ibm-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.1,19553  Reviews,2-5 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru","At IBM, work is more than a job - it's a calling: To build. To design. To code. To cons...",Unix,C++,Linux,Oracle,SQL,Lotus Domino,Postgresql,Agile,1 Day Ago
50,Automation & Validation Engineers,https://www.naukri.com/job-listings-automation-validation-engineers-tata-elxsi-hyderabad-secunderabad-telangana-pune-maharashtra-bangalore-bengaluru-karnataka-3-to-8-years-020124001777,https://img.naukimg.com/logo_images/groups/v1/197174.gif,Tata Elxsi,https://www.naukri.com/tata-elxsi-jobs-careers-1533,https://www.ambitionbox.com/reviews/tata-elxsi-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,1582  Reviews,3-8 Yrs,6-16 Lacs PA,"Hybrid - Hyderabad/ Secunderabad, Telangana, Pune, Maharashtra, Bangalore/ Bengaluru, Karnataka",ISTQB foundation level certification is preferred Experience in analysing the requireme...,Validation,CAPL,HIL,Canoe,DSpace,Canalyzer,Ecu,Automation,2 Days Ago
51,Senior Solution Architect I - Automation Testing QA,https://www.naukri.com/job-listings-senior-solution-architect-i-automation-testing-qa-citiustech-mumbai-bangalore-bengaluru-13-to-16-years-300124501037,https://img.naukimg.com/logo_images/groups/v1/682834.gif,Citiustech,https://www.naukri.com/citiustech-jobs-careers-142075,https://www.ambitionbox.com/reviews/citiustech-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.5,1291  Reviews,13-16 Yrs,Not disclosed,"Mumbai, Bangalore/Bengaluru",Strong knowledge of mobile automation concepts and implementation will be an added adva...,Core Java,Automation,Backend,Coding,TDD,Javascript,Agile,Healthcare,1 Day Ago
52,Software Engineer - SAP Technical (ABAP),https://www.naukri.com/job-listings-software-engineer-sap-technical-abap-baker-hughes-the-network-mumbai-bangalore-bengaluru-3-to-7-years-290124502707,https://img.naukimg.com/logo_images/groups/v1/120160.gif,Baker Hughes,https://www.naukri.com/baker-hughes-jobs-careers-158913,https://www.ambitionbox.com/reviews/baker-hughes-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,392  Reviews,3-7 Yrs,Not disclosed,"Mumbai, Bangalore/Bengaluru",To be successful in this role you will: . Have a bachelor s degree in information syste...,Process design,SAP ERP,Design review,Project management,Debugging,SAP PI,Information technology,ABAP,1 Day Ago
53,Webmethods Developer,https://www.naukri.com/job-listings-webmethods-developer-tata-consultancy-services-tcs-hyderabad-telangana-bangalore-rural-karnataka-mumbai-all-areas-4-to-9-years-290124000058,https://img.naukimg.com/logo_images/groups/v1/223346.gif,Tata Consultancy Services (TCS),https://www.naukri.com/tata-consultancy-services-tcs-jobs-careers-13542,https://www.ambitionbox.com/reviews/tcs-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,72424  Reviews,4-9 Yrs,Not disclosed,"Hyderabad, Telangana, Bangalore Rural, Karnataka, Mumbai (All Areas)","Must have knowledge on various integration patterns Having experience in web Services, ...",Webmethods,JMS,Rest,Jms Queues,trigger management,Soap Web Services,Integration Server,Server,2 Days Ago
54,Aws Devops Engineer,https://www.naukri.com/job-listings-aws-devops-engineer-tata-consultancy-services-tcs-chennai-bengaluru-mumbai-all-areas-4-to-7-years-290124004132,https://www.naukri.com/hotjobs/images/v3/tcsl_nov13.gif,Tata Consultancy Services (TCS),https://www.naukri.com/tata-consultancy-services-tcs-jobs-careers-13542,https://www.ambitionbox.com/reviews/tcs-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,72424  Reviews,4-7 Yrs,Not disclosed,"Chennai, Bengaluru, Mumbai (All Areas)","TCS is Hiring for Devops Engineer roleLocation: Chennai, Mumbai, Hyderabad, BangaloreEx...",Aws Devops,Terraform,Jenkins,Ansible,Devops,AWS,Development,Development,1 Day Ago
55,Insurance Enabling Technologies- Guidewire Rating BA- Sr Associate 2,https://www.naukri.com/job-listings-insurance-enabling-technologies-guidewire-rating-ba-sr-associate-2-pricewaterhousecoopers-professional-services-llp-mumbai-hyderabad-secunderabad-bangalore-bengaluru-5-to-10-years-250124910119,https://www.naukri.com/hotjobs/images/v3/price_nov13.gif,PwC Service Delivery Center,https://www.naukri.com/pwc-service-delivery-center-jobs-careers-676499,https://www.ambitionbox.com/reviews/pwc-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.6,6844  Reviews,5-10 Yrs,Not disclosed,"Hybrid - Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru",Educational qualifications: BE B Tech MCA/ MTech/MBAPGDMWork Location: PwC AC location ...,business analysis,rfi,scrum,agile,rfp,guidewire,technology solutions,SR,5 Days Ago
56,Senior Technical Consultant- Insurance/Health,https://www.naukri.com/job-listings-senior-technical-consultant-insurance-health-salesforce-mumbai-pune-gurgaon-gurugram-bangalore-bengaluru-3-to-10-years-190124502064,https://img.naukimg.com/logo_images/groups/v1/230842.gif,Salesforce,https://www.naukri.com/salesforce-jobs-careers-8981,https://www.ambitionbox.com/reviews/salesforce-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.2,627  Reviews,3-10 Yrs,Not disclosed,"Mumbai, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru","Experience with platform security capabilities (TLS, SSL) . Strong technical expertise ...",Manager Quality Assurance,Data modeling,Coding,XML,Debugging,Javascript,Flex,HTML,11 Days Ago
57,Senior Technical Architect- Telecom/Media,https://www.naukri.com/job-listings-senior-technical-architect-telecom-media-salesforce-mumbai-pune-gurgaon-gurugram-bangalore-bengaluru-9-to-14-years-190124502063,https://img.naukimg.com/logo_images/groups/v1/230842.gif,Salesforce,https://www.naukri.com/salesforce-jobs-careers-8981,https://www.ambitionbox.com/reviews/salesforce-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.2,627  Reviews,9-14 Yrs,Not disclosed,"Mumbai, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru",Rapidly learn new technologies and maintain your certification across all enabling plat...,Telecom,ERP,SAP,UML,Project management,Javascript,Flex,J2Ee,11 Days Ago
58,Salesforce Technical Architect- Health/insurance,https://www.naukri.com/job-listings-salesforce-technical-architect-health-insurance-salesforce-mumbai-pune-gurgaon-gurugram-bangalore-bengaluru-4-to-10-years-190124501195,https://img.naukimg.com/logo_images/groups/v1/230842.gif,Salesforce,https://www.naukri.com/salesforce-jobs-careers-8981,https://www.ambitionbox.com/reviews/salesforce-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.2,627  Reviews,4-10 Yrs,Not disclosed,"Mumbai, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru",Rapidly learn new technologies and maintain your certification across all enabling plat...,ERP,SAP,Production support,UML,Project management,Javascript,Flex,J2Ee,11 Days Ago
59,Teachnical Lead II - FullStack with React,https://www.naukri.com/job-listings-teachnical-lead-ii-fullstack-with-react-citiustech-mumbai-pune-bangalore-bengaluru-7-to-10-years-230124500881,https://img.naukimg.com/logo_images/groups/v1/682834.gif,Citiustech,https://www.naukri.com/citiustech-jobs-careers-142075,https://www.ambitionbox.com/reviews/citiustech-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.5,1291  Reviews,7-10 Yrs,Not disclosed,"Mumbai, Pune, Bangalore/Bengaluru",Mandatory technical Skills . Should haveability to work a flexible schedule to accommod...,Backend,Front end,GIT,SOA,Enterprise architecture,Coding,Javascript,Healthcare,7 Days Ago
